NAME;Verkehr;lng;lat
Albstadt-Lautlingen;nur DPN;8.95462;48.213638
Aldekerk;nur DPN;6.412542;51.435759
Kitzingen;RV;10.155214;49.732497
Ahrensburg-Gartenholz;RV;10.251786;53.688482
Aldingen(b Spaichingen);nur DPN;8.713033;48.095845
Aletshausen;RV;10.383631;48.201313
Alfeld(Leine);FV;9.817779;51.981417
Algermissen;RV;9.966472;52.25188
Aligse;RV;9.979349;52.403462
Altenglan;RV;7.461841;49.548643
Allendorf(Dillkr);nur DPN;8.185486;50.743811
Alfter-Impekoven;RV;7.019831;50.711016
Allensbach;RV;9.068852;47.714464
Allersberg(Rothsee);RV;11.212573;49.262131
Allmendingen;RV;9.722382;48.327734
Alpen;nur DPN;6.518041;51.583392
Alpirsbach;nur DPN;8.398251;48.343809
Alsdorf-Annapark;RV;6.156661;50.870517
Biblis;RV;8.450413;49.688881
Altdorf West;RV;11.341467;49.391146
Alsenz;RV;7.817189;49.727495
Alsheim;RV;8.342462;49.765528
Alsdorf-Busch;RV;6.140586;50.876588
Altbach;RV;9.382384;48.720393
Altdorf(b Nürnberg);RV;11.35353;49.390006
Alsdorf Poststraße;RV;6.197075;50.855749
Alte Veste;RV;10.972363;49.454322
Hamburg Alte Wöhr;RV;10.035415;53.59793
Altena(Westf);nur DPN;7.668808;51.301981
Altenahr;RV;6.989707;50.515652
Altenau(Bay);RV;11.017375;47.648365
Altenbamberg;RV;7.830745;49.786857
Altenberge;RV;7.481303;52.052258
Felsberg-Altenbrunslar;RV;9.445462;51.165227
Alsdorf-Kellersberg;RV;6.167354;50.867527
Hude;FV;8.460956;53.109429
Altenerding;RV;11.901744;48.293572
Altenfeld(Rhön);nur DPN;9.849726;50.450898
Altengörs;nur DPN;10.355554;53.898696
Alsdorf-Mariadorf;RV;6.188454;50.861978
Altenhasungen;RV;9.225737;51.34354
Lennestadt-Altenhundem;nur DPN;8.071517;51.104132
Altenmarkt(Alz);RV;12.536027;47.999817
Muhr a See;RV;10.720493;49.15436
Altenseelbach;nur DPN;7.992398;50.783837
Altenstadt(Hess);RV;8.943977;50.283398
Altenstadt(Iller);RV;10.109983;48.161191
Altenstadt(Waldnaab);RV;12.16487;49.715679
Altglashütten-Falkau;RV;8.114113;47.859392
Althegnenberg;RV;11.063003;48.236374
Altheim(Hess);nur DPN;8.890906;49.923332
Lauterecken-Grumbach;RV;7.59071;49.653709
Altmorschen;nur DPN;9.610756;51.067275
Altötting;RV;12.67479;48.221242
Altomünster;RV;11.255133;48.384918
Alzey Süd;RV;8.118732;49.738134
Altshausen;RV;9.551478;47.930711
Altstädten(Allgäu);RV;10.280907;47.48855
Alttann;RV;9.793037;47.841214
Lebach;RV;6.907231;49.408332
